Kod_stacji,Nazwa_stacji,Rok,Miesiąc,Miesięczna_suma_opadów_[mm],Status_pomiaru_SUMM,Liczba_dni_z_opadem_śniegu,Status_pomiaru_LDS,Opad_maksymalny_[mm],Status_pomiaru_MAXO,Dzień_pierwszy_wystąpienia_opadu_maksymalnego,Dzień_ostatni_wystąpienia_opadu_maksymalnego,Liczba_dni_z_pokrywą_śnieżną,Status_pomiaru_LDPS,Region
249180020,WARSZOWICE,2016,01,39.5,,12,,7.0,,25,,0,,PL-MA
249180020,WARSZOWICE,2016,02,92.2,,7,,15.2,,19,,0,,PL-MA
249180020,WARSZOWICE,2016,03,30.2,,3,,7.7,,01,,0,,PL-MA
249180020,WARSZOWICE,2016,04,51.0,,0,,11.1,,17,,0,,PL-MA
249180020,WARSZOWICE,2016,05,32.5,,0,,7.6,,04,,0,,PL-MA
249180020,WARSZOWICE,2016,06,46.0,,0,,7.0,,02,19,0,,PL-MA
249180020,WARSZOWICE,2016,07,171.9,,0,,44.7,,31,,0,,PL-MA
249180020,WARSZOWICE,2016,08,83.0,,0,,28.4,,09,,0,,PL-MA
249180020,WARSZOWICE,2016,09,40.1,,0,,16.9,,17,,0,,PL-MA
249180020,WARSZOWICE,2016,10,102.7,,0,,18.5,,20,,0,,PL-MA
249180020,WARSZOWICE,2016,11,48.0,,4,,10.6,,30,,0,,PL-MA
249180020,WARSZOWICE,2016,12,45.8,,5,,17.7,,01,,0,,PL-MA
249180080,OCHABY,2016,01,41.5,,13,,7.3,,25,,0,,PL-PK
249180080,OCHABY,2016,02,103.2,,7,,20.8,,10,,0,,PL-PK
249180080,OCHABY,2016,03,42.7,,3,,11.5,,01,,0,,PL-PK
249180080,OCHABY,2016,04,74.7,,1,,16.6,,17,,0,,PL-PK
249180080,OCHABY,2016,05,61.9,,0,,19.2,,31,,0,,PL-PK
249180080,OCHABY,2016,06,52.4,,0,,12.4,,15,,0,,PL-PK
249180080,OCHABY,2016,07,214.0,,0,,90.6,,31,,0,,PL-PK
249180080,OCHABY,2016,08,95.8,,0,,19.6,,21,,0,,PL-PK
249180080,OCHABY,2016,09,44.4,,0,,16.4,,05,,0,,PL-PK
249180080,OCHABY,2016,10,118.7,,0,,23.4,,20,,0,,PL-PK
249180080,OCHABY,2016,11,46.4,,5,,12.6,,06,,0,,PL-PK
249180080,OCHABY,2016,12,49.9,,7,,17.3,,01,,0,,PL-PK
251170040,SZELEJEWO,2016,01,51.5,,4,,10.4,,10,,0,,PL-KP
251170040,SZELEJEWO,2016,02,57.5,,1,,7.8,,01,,0,,PL-KP
251170040,SZELEJEWO,2016,03,82.9,,2,,14.8,,31,,0,,PL-KP
251170040,SZELEJEWO,2016,04,29.9,,0,,12.4,,14,,0,,PL-KP
251170040,SZELEJEWO,2016,05,44.8,,0,,14.5,,31,,0,,PL-KP
251170040,SZELEJEWO,2016,06,77.0,,0,,12.8,,15,,0,,PL-KP
251170040,SZELEJEWO,2016,07,112.8,,0,,72.2,,14,,0,,PL-KP
251170040,SZELEJEWO,2016,08,37.2,,0,,15.2,,21,,0,,PL-KP
251170040,SZELEJEWO,2016,09,18.1,,0,,14.6,,05,,0,,PL-KP
251170040,SZELEJEWO,2016,10,125.2,,0,,37.0,,03,,0,,PL-KP
