Kod_stacji,Nazwa_stacji,Rok,Miesiąc,Miesięczna_suma_opadów_[mm],Status_pomiaru_SUMM,Liczba_dni_z_opadem_śniegu,Status_pomiaru_LDS,Opad_maksymalny_[mm],Status_pomiaru_MAXO,Dzień_pierwszy_wystąpienia_opadu_maksymalnego,Dzień_ostatni_wystąpienia_opadu_maksymalnego,Liczba_dni_z_pokrywą_śnieżną,Status_pomiaru_LDPS,Region
250160420,PASTERKA,2013,01,52.2,,20,,9.3,,04,,0,,PL-PK
250160420,PASTERKA,2013,02,117.7,,13,,29.1,,12,,0,,PL-PK
250160420,PASTERKA,2013,03,30.3,,12,,10.5,,18,,0,,PL-PK
250160420,PASTERKA,2013,04,32.0,,5,,6.2,,12,,0,,PL-PK
250160420,PASTERKA,2013,05,120.6,,0,,18.5,,10,,0,,PL-PK
250160420,PASTERKA,2013,06,145.6,,0,,52.0,,09,,0,,PL-PK
250160420,PASTERKA,2013,07,66.3,,0,,62.0,,29,,0,,PL-PK
250160420,PASTERKA,2013,08,61.8,,0,,19.0,,04,,0,,PL-PK
250160420,PASTERKA,2013,09,123.8,,0,,41.2,,13,,0,,PL-PK
250160420,PASTERKA,2013,10,34.6,,0,,19.1,,11,,0,,PL-PK
250160420,PASTERKA,2013,11,58.5,,8,,10.5,,06,,0,,PL-PK
250160420,PASTERKA,2013,12,28.0,,5,,10.9,,05,,0,,PL-PK
251170040,SZELEJEWO,2013,01,56.0,,9,,12.2,,06,,0,,PL-KP
251170040,SZELEJEWO,2013,02,30.9,,13,,6.4,,02,,0,,PL-KP
251170040,SZELEJEWO,2013,03,31.4,,11,,12.0,,18,,0,,PL-KP
251170040,SZELEJEWO,2013,04,25.6,,1,,9.7,,27,,0,,PL-KP
251170040,SZELEJEWO,2013,05,100.8,,0,,20.3,,27,,0,,PL-KP
251170040,SZELEJEWO,2013,06,128.5,,0,,36.8,,01,,0,,PL-KP
251170040,SZELEJEWO,2013,07,50.7,,0,,16.5,,29,,0,,PL-KP
251170040,SZELEJEWO,2013,08,74.4,,0,,24.6,,08,,0,,PL-KP
251170040,SZELEJEWO,2013,09,93.0,,0,,23.6,,13,,0,,PL-KP
