Kod_stacji,Nazwa_stacji,Rok,Miesiąc,Miesięczna_suma_opadów_[mm],Status_pomiaru_SUMM,Liczba_dni_z_opadem_śniegu,Status_pomiaru_LDS,Opad_maksymalny_[mm],Status_pomiaru_MAXO,Dzień_pierwszy_wystąpienia_opadu_maksymalnego,Dzień_ostatni_wystąpienia_opadu_maksymalnego,Liczba_dni_z_pokrywą_śnieżną,Status_pomiaru_LDPS,Region
250160420,PASTERKA,2003,01,69.7,,11,,29.3,,02,,0,8,PL-PK
250160420,PASTERKA,2003,02,13.0,,7,,3.1,,05,,0,8,PL-PK
250160420,PASTERKA,2003,03,13.9,,6,,3.8,,09,,0,8,PL-PK
250160420,PASTERKA,2003,04,37.7,,9,,8.7,,18,,0,8,PL-PK
250160420,PASTERKA,2003,05,119.3,,0,,26.4,,10,,0,8,PL-PK
250160420,PASTERKA,2003,06,51.3,,0,,14.2,,18,,0,8,PL-PK
250160420,PASTERKA,2003,07,132.3,,0,,28.1,,23,,0,8,PL-PK
250160420,PASTERKA,2003,08,87.6,,0,,27.8,,13,,0,8,PL-PK
250160420,PASTERKA,2003,09,53.5,,0,,15.7,,10,,0,8,PL-PK
250160420,PASTERKA,2003,10,98.5,,3,,33.7,,05,,0,8,PL-PK
250160420,PASTERKA,2003,11,21.1,,0,,4.2,,29,,0,8,PL-PK
250160420,PASTERKA,2003,12,90.3,,12,,24.3,,13,,0,8,PL-PK
251170040,SZELEJEWO,2003,01,54.9,,10,,11.0,,02,,0,8,PL-KP
251170040,SZELEJEWO,2003,02,4.1,,2,,3.9,,03,,0,8,PL-KP
251170040,SZELEJEWO,2003,03,13.5,,1,,5.6,,09,,0,8,PL-KP
251170040,SZELEJEWO,2003,04,17.5,,3,,3.8,,09,,0,8,PL-KP
251170040,SZELEJEWO,2003,05,45.0,,0,,10.1,,08,,0,8,PL-KP
251170040,SZELEJEWO,2003,06,2.5,,0,,1.0,,05,,0,8,PL-KP
251170040,SZELEJEWO,2003,07,70.3,,0,,19.1,,22,,0,8,PL-KP
251170040,SZELEJEWO,2003,08,28.8,,0,,16.5,,18,,0,8,PL-KP
251170040,SZELEJEWO,2003,09,30.7,,0,,7.5,,11,,0,8,PL-KP
251170040,SZELEJEWO,2003,10,51.6,,2,,13.5,,05,,0,8,PL-KP
251170040,SZELEJEWO,2003,11,13.6,,0,,5.6,,17,,0,8,PL-KP
251170040,SZELEJEWO,2003,12,49.4,,7,,14.3,,13,,0,8,PL-KP
251210190,OPOLE LUBELSKIE,2003,01,31.9,,14,,6.2,,28,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2003,02,18.9,,11,,7.1,,05,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2003,03,17.8,,5,,5.4,,28,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2003,04,39.5,,7,,7.7,,27,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2003,05,58.4,,0,,14.8,,20,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2003,06,38.4,,0,,13.1,,16,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2003,07,80.9,,0,,26.5,,22,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2003,08,30.3,,0,,10.5,,23,,0,8,PL-OP
