Kod_stacji,Nazwa_stacji,Rok,Miesiąc,Miesięczna_suma_opadów_[mm],Status_pomiaru_SUMM,Liczba_dni_z_opadem_śniegu,Status_pomiaru_LDS,Opad_maksymalny_[mm],Status_pomiaru_MAXO,Dzień_pierwszy_wystąpienia_opadu_maksymalnego,Dzień_ostatni_wystąpienia_opadu_maksymalnego,Liczba_dni_z_pokrywą_śnieżną,Status_pomiaru_LDPS,Region
250160420,PASTERKA,2004,01,74.9,,25,,13.5,,11,,0,8,PL-PK
250160420,PASTERKA,2004,02,58.5,,14,,13.2,,08,,0,8,PL-PK
250160420,PASTERKA,2004,03,61.2,,10,,16.0,,23,,0,8,PL-PK
250160420,PASTERKA,2004,04,50.6,,4,,14.8,,06,,0,8,PL-PK
250160420,PASTERKA,2004,05,70.0,,2,,18.1,,12,,0,8,PL-PK
250160420,PASTERKA,2004,06,127.7,,0,,23.4,,10,,0,8,PL-PK
250160420,PASTERKA,2004,07,89.3,,0,,16.7,,09,,0,8,PL-PK
250160420,PASTERKA,2004,08,51.9,,0,,18.7,,20,,0,8,PL-PK
250160420,PASTERKA,2004,09,46.0,,0,,10.7,,21,,0,8,PL-PK
250160420,PASTERKA,2004,10,43.9,,0,,17.6,,16,,0,8,PL-PK
250160420,PASTERKA,2004,11,104.7,,11,,19.4,,18,,0,8,PL-PK
250160420,PASTERKA,2004,12,38.4,,8,,9.8,,26,,0,8,PL-PK
251170040,SZELEJEWO,2004,01,41.4,,17,,8.5,,11,,0,8,PL-KP
251170040,SZELEJEWO,2004,02,37.9,,8,,7.7,,10,,0,8,PL-KP
251170040,SZELEJEWO,2004,03,29.5,,6,,9.8,,20,,0,8,PL-KP
251170040,SZELEJEWO,2004,04,16.1,,0,,11.8,,23,,0,8,PL-KP
251170040,SZELEJEWO,2004,05,61.2,,0,,11.3,,11,,0,8,PL-KP
251170040,SZELEJEWO,2004,06,37.5,,0,,8.1,,15,,0,8,PL-KP
251170040,SZELEJEWO,2004,07,46.4,,0,,12.7,,09,,0,8,PL-KP
251170040,SZELEJEWO,2004,08,68.2,,0,,16.7,,20,,0,8,PL-KP
251170040,SZELEJEWO,2004,09,26.6,,0,,6.1,,30,,0,8,PL-KP
251170040,SZELEJEWO,2004,10,55.6,,0,,22.8,,06,,0,8,PL-KP
251170040,SZELEJEWO,2004,11,54.9,,5,,11.5,,22,,0,8,PL-KP
251170040,SZELEJEWO,2004,12,34.9,,3,,9.2,,23,26,0,8,PL-KP
251210190,OPOLE LUBELSKIE,2004,01,32.8,,23,,5.3,,12,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,02,51.0,,16,,8.9,,23,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,03,38.5,,7,,10.0,,25,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,04,67.6,,0,,17.2,,07,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,05,58.8,,0,,11.5,,02,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,06,62.0,,0,,15.0,,20,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,07,68.5,,0,,17.7,,27,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,08,55.3,,0,,11.7,,10,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,09,13.2,,0,,3.4,,15,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,10,33.1,,0,,17.5,,16,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,11,74.2,,9,,30.2,,19,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2004,12,15.0,,4,,6.0,,27,,0,8,PL-OP
251210210,GRABOWIEC,2004,01,19.6,,23,,4.4,,12,,0,8,PL-ZP
251210210,GRABOWIEC,2004,02,49.1,,15,,8.0,,04,29,0,8,PL-ZP
251210210,GRABOWIEC,2004,03,27.4,,9,,8.2,,20,,0,8,PL-ZP
251210210,GRABOWIEC,2004,04,71.1,,0,,22.0,,24,,0,8,PL-ZP
251210210,GRABOWIEC,2004,05,34.1,,0,,10.9,,09,,0,8,PL-ZP
251210210,GRABOWIEC,2004,06,41.4,,0,,7.0,,20,,0,8,PL-ZP
251210210,GRABOWIEC,2004,07,78.3,,0,,22.6,,27,,0,8,PL-ZP
251210210,GRABOWIEC,2004,08,46.5,,0,,10.5,,31,,0,8,PL-ZP
251210210,GRABOWIEC,2004,09,11.0,,0,,2.4,,24,,0,8,PL-ZP
251210210,GRABOWIEC,2004,10,34.9,,1,,18.3,,16,,0,8,PL-ZP
251210210,GRABOWIEC,2004,11,50.3,,7,,15.9,,19,,0,8,PL-ZP
251210210,GRABOWIEC,2004,12,8.9,,6,,2.9,,27,,0,8,PL-ZP
251210250,KURZACZE,2004,01,27.9,,15,,5.6,,12,,0,8,PL-SK
251210250,KURZACZE,2004,02,56.4,,14,,9.0,,23,,0,8,PL-SK
251210250,KURZACZE,2004,03,27.7,,6,,7.0,,20,,0,8,PL-SK
251210250,KURZACZE,2004,04,76.5,,0,,26.8,,24,,0,8,PL-SK
251210250,KURZACZE,2004,05,41.5,,0,,8.2,,03,,0,8,PL-SK
251210250,KURZACZE,2004,06,60.7,,0,,19.4,,15,,0,8,PL-SK
251210250,KURZACZE,2004,07,102.7,,0,,23.4,,27,,0,8,PL-SK
251210250,KURZACZE,2004,08,65.0,,0,,11.2,,14,,0,8,PL-SK
251210250,KURZACZE,2004,09,16.1,,0,,5.0,,21,,0,8,PL-SK
251210250,KURZACZE,2004,10,36.5,,0,,19.5,,16,,0,8,PL-SK
251210250,KURZACZE,2004,11,56.0,,5,,16.0,,19,,0,8,PL-SK
251210250,KURZACZE,2004,12,12.8,,1,,5.2,,27,,0,8,PL-SK
252150020,DOBIEGNIEW,2004,01,56.6,,8,,12.4,,16,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,02,52.4,,5,,10.0,,06,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,03,32.1,,3,,8.7,,20,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,04,19.1,,0,,5.2,,06,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,05,48.8,,0,,11.8,,09,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,06,71.8,,0,,22.5,,28,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,07,57.6,,0,,11.2,,20,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,08,66.6,,0,,13.2,,24,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,09,46.3,,0,,25.4,,29,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,10,37.9,,0,,10.4,,16,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,11,57.0,,5,,13.5,,17,,0,8,PL-LB
252150020,DOBIEGNIEW,2004,12,49.5,,6,,15.2,,26,,0,8,PL-LB
252150240,LASKI,2004,01,62.7,,16,,16.6,,11,,0,8,PL-DS
252150240,LASKI,2004,02,54.4,,9,,11.2,,08,,0,8,PL-DS
252150240,LASKI,2004,03,17.3,,5,,6.3,,20,,0,8,PL-DS
252150240,LASKI,2004,04,22.0,,0,,7.1,,23,,0,8,PL-DS
252150240,LASKI,2004,05,53.7,,0,,9.8,,15,,0,8,PL-DS
252150240,LASKI,2004,06,55.7,,0,,16.1,,17,,0,8,PL-DS
252150240,LASKI,2004,07,104.2,,0,,35.4,,08,,0,8,PL-DS
252150240,LASKI,2004,08,57.0,,0,,16.4,,14,,0,8,PL-DS
252150240,LASKI,2004,09,30.3,,0,,9.4,,29,,0,8,PL-DS
252150240,LASKI,2004,10,41.9,,0,,10.8,,26,,0,8,PL-DS
252150240,LASKI,2004,11,72.5,,6,,13.6,,18,,0,8,PL-DS
252150240,LASKI,2004,12,52.7,,9,,16.3,,26,,0,8,PL-DS
252160210,KONOJAD,2004,01,48.6,,13,,7.1,,11,,0,8,PL-WP
252160210,KONOJAD,2004,02,30.5,,9,,4.5,,10,,0,8,PL-WP
252160210,KONOJAD,2004,03,14.2,,4,,6.1,,20,,0,8,PL-WP
252160210,KONOJAD,2004,04,21.4,,0,,16.3,,23,,0,8,PL-WP
252160210,KONOJAD,2004,05,57.0,,0,,12.0,,09,,0,8,PL-WP
252160210,KONOJAD,2004,06,37.4,,0,,7.7,,17,,0,8,PL-WP
252160210,KONOJAD,2004,07,53.6,,0,,14.6,,03,,0,8,PL-WP
