Kod_stacji,Nazwa_stacji,Rok,Miesiąc,Miesięczna_suma_opadów_[mm],Status_pomiaru_SUMM,Liczba_dni_z_opadem_śniegu,Status_pomiaru_LDS,Opad_maksymalny_[mm],Status_pomiaru_MAXO,Dzień_pierwszy_wystąpienia_opadu_maksymalnego,Dzień_ostatni_wystąpienia_opadu_maksymalnego,Liczba_dni_z_pokrywą_śnieżną,Status_pomiaru_LDPS,Region
250160420,PASTERKA,2009,01,43.8,,12,,12.4,,04,,0,8,PL-PK
250160420,PASTERKA,2009,02,51.4,,22,,11.0,,26,,0,8,PL-PK
250160420,PASTERKA,2009,03,91.6,,15,,20.3,,23,,0,8,PL-PK
250160420,PASTERKA,2009,04,13.7,,0,,5.2,,22,,0,8,PL-PK
250160420,PASTERKA,2009,05,120.5,,0,,19.0,,29,,0,8,PL-PK
250160420,PASTERKA,2009,06,140.0,,0,,42.5,,26,,0,8,PL-PK
250160420,PASTERKA,2009,07,145.3,,0,,26.0,,18,,0,8,PL-PK
250160420,PASTERKA,2009,08,83.3,,0,,32.5,,02,,0,8,PL-PK
250160420,PASTERKA,2009,09,28.9,,0,,8.8,,29,,0,8,PL-PK
250160420,PASTERKA,2009,10,107.6,,6,,10.2,,14,,0,8,PL-PK
250160420,PASTERKA,2009,11,32.3,,4,,11.0,,04,,0,8,PL-PK
250160420,PASTERKA,2009,12,59.6,,6,,11.2,,30,,0,8,PL-PK
251170040,SZELEJEWO,2009,01,19.6,,8,,5.2,,20,,0,8,PL-KP
251170040,SZELEJEWO,2009,02,49.5,,11,,14.8,,23,,0,8,PL-KP
251170040,SZELEJEWO,2009,03,52.8,,4,,9.8,,23,,0,8,PL-KP
251170040,SZELEJEWO,2009,04,16.3,,0,,9.2,,22,,0,8,PL-KP
251170040,SZELEJEWO,2009,05,77.5,,0,,14.8,,31,,0,8,PL-KP
251170040,SZELEJEWO,2009,06,155.5,,0,,24.9,,24,,0,8,PL-KP
251170040,SZELEJEWO,2009,07,83.3,,0,,21.6,,18,,0,8,PL-KP
251170040,SZELEJEWO,2009,08,55.0,,0,,34.8,,26,,0,8,PL-KP
251170040,SZELEJEWO,2009,09,31.7,,0,,19.3,,29,,0,8,PL-KP
251170040,SZELEJEWO,2009,10,60.4,,0,,10.5,,06,,0,8,PL-KP
251170040,SZELEJEWO,2009,11,44.7,,2,,12.6,,17,,0,8,PL-KP
251170040,SZELEJEWO,2009,12,37.4,,10,,11.8,,01,,0,8,PL-KP
251210210,GRABOWIEC,2009,01,15.8,,10,,5.8,,21,,0,8,PL-ZP
251210210,GRABOWIEC,2009,02,26.3,,13,,5.1,,13,,0,8,PL-ZP
251210210,GRABOWIEC,2009,03,51.7,,10,,8.0,,29,,0,8,PL-ZP
251210210,GRABOWIEC,2009,04,.1,,0,,.1,,17,,0,8,PL-ZP
251210210,GRABOWIEC,2009,05,54.0,,0,,17.3,,22,,0,8,PL-ZP
251210210,GRABOWIEC,2009,06,99.6,,0,,14.4,,15,,0,8,PL-ZP
251210210,GRABOWIEC,2009,07,137.4,,0,,74.2,,02,,0,8,PL-ZP
251210210,GRABOWIEC,2009,08,52.4,,0,,14.0,,29,,0,8,PL-ZP
251210210,GRABOWIEC,2009,09,31.0,,0,,9.5,,03,,0,8,PL-ZP
251210210,GRABOWIEC,2009,10,85.0,,4,,17.9,,20,,0,8,PL-ZP
251210210,GRABOWIEC,2009,11,51.7,,0,,20.7,,11,,0,8,PL-ZP
251210210,GRABOWIEC,2009,12,56.7,,13,,9.3,,31,,0,8,PL-ZP
251210250,KURZACZE,2009,01,19.5,,7,,6.8,,21,,0,8,PL-SK
251210250,KURZACZE,2009,02,36.0,,11,,7.4,,13,,0,8,PL-SK
251210250,KURZACZE,2009,03,63.8,,8,,7.0,,29,,0,8,PL-SK
251210250,KURZACZE,2009,04,3.2,,0,,3.2,,09,,0,8,PL-SK
251210250,KURZACZE,2009,05,60.5,,0,,21.0,,22,,0,8,PL-SK
251210250,KURZACZE,2009,06,119.2,,0,,33.0,,10,,0,8,PL-SK
251210250,KURZACZE,2009,07,102.0,,0,,23.0,,02,,0,8,PL-SK
251210250,KURZACZE,2009,08,63.8,,0,,23.0,,13,,0,8,PL-SK
251210250,KURZACZE,2009,09,39.0,,0,,19.0,,29,,0,8,PL-SK
251210250,KURZACZE,2009,10,103.0,,4,,26.4,,20,,0,8,PL-SK
251210250,KURZACZE,2009,11,49.5,,0,,22.9,,11,,0,8,PL-SK
251210250,KURZACZE,2009,12,49.4,,9,,12.0,,31,,0,8,PL-SK
252150020,DOBIEGNIEW,2009,01,18.7,,4,,6.7,,18,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,02,42.6,,8,,7.3,,22,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,03,48.1,,3,,13.2,,23,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,04,25.7,,0,,17.6,,22,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,05,81.6,,0,,18.8,,26,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,06,106.6,,0,,23.2,,24,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,07,71.1,,0,,21.2,,18,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,08,29.9,,0,,10.3,,03,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,09,51.4,,0,,14.7,,02,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,10,83.5,,0,,20.4,,07,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,11,34.0,,2,,6.0,,17,,0,8,PL-LB
252150020,DOBIEGNIEW,2009,12,32.6,,9,,7.1,,22,,0,8,PL-LB
252150240,LASKI,2009,01,40.1,,8,,6.8,,04,,0,8,PL-DS
252150240,LASKI,2009,02,64.4,,13,,11.9,,10,,0,8,PL-DS
252150240,LASKI,2009,03,45.9,,5,,9.2,,23,,0,8,PL-DS
252150240,LASKI,2009,04,9.3,,0,,6.4,,17,,0,8,PL-DS
252150240,LASKI,2009,05,104.8,,0,,30.9,,26,,0,8,PL-DS
252150240,LASKI,2009,06,72.8,,0,,14.9,,15,,0,8,PL-DS
252150240,LASKI,2009,07,64.6,,0,,10.8,,07,,0,8,PL-DS
252150240,LASKI,2009,08,14.5,,0,,6.0,,17,,0,8,PL-DS
252150240,LASKI,2009,09,36.9,,0,,20.3,,03,,0,8,PL-DS
252150240,LASKI,2009,10,72.6,,0,,13.2,,06,,0,8,PL-DS
252150240,LASKI,2009,11,48.7,,3,,12.1,,17,,0,8,PL-DS
252150240,LASKI,2009,12,63.3,,12,,14.7,,30,,0,8,PL-DS
252160210,KONOJAD,2009,01,23.9,,6,,6.5,,20,,0,8,PL-WP
252160210,KONOJAD,2009,02,44.1,,13,,7.7,,22,,0,8,PL-WP
252160210,KONOJAD,2009,03,44.5,,3,,10.8,,23,,0,8,PL-WP
252160210,KONOJAD,2009,04,11.4,,0,,6.1,,22,,0,8,PL-WP
252160210,KONOJAD,2009,05,108.4,,0,,33.8,,26,,0,8,PL-WP
252160210,KONOJAD,2009,06,63.4,,0,,13.2,,15,,0,8,PL-WP
252160210,KONOJAD,2009,07,84.1,,0,,25.8,,18,,0,8,PL-WP
252160210,KONOJAD,2009,08,43.4,,0,,16.6,,03,,0,8,PL-WP
