Kod_stacji,Nazwa_stacji,Rok,Miesiąc,Średnia_miesięczna_temperatura_[°C],Status_pomiaru_TEMP,Średnia_miesięczna_wilgotność_względna_[%],Status_pomiaru_WLGS,Średnia_miesięczna_prędkość_wiatru_[m/s],Status_pomiaru_FWS,Średnie_miesięczne_zachmurzenie_ogólne_[oktanty],Status_pomiaru_NOS,Region
249180160,BRENNA,2015,01,1.5,,.0,8,3.2,,6.7,,PL-SL
249180160,BRENNA,2015,02,.6,,.0,8,2.2,,4.9,,PL-SL
249180160,BRENNA,2015,03,4.4,,.0,8,2.6,,4.6,,PL-SL
249180160,BRENNA,2015,04,8.1,,.0,8,2.3,,5.0,,PL-SL
249180160,BRENNA,2015,05,12.8,,.0,8,1.8,,5.7,,PL-SL
249180160,BRENNA,2015,06,17.0,,.0,8,1.5,,4.9,,PL-SL
249180160,BRENNA,2015,07,20.4,,.0,8,1.6,,4.2,,PL-SL
249180160,BRENNA,2015,08,21.4,,.0,8,1.6,,3.4,,PL-SL
249180160,BRENNA,2015,09,14.3,,.0,8,1.6,,5.6,,PL-SL
249180160,BRENNA,2015,10,7.9,,.0,8,1.4,,5.6,,PL-SL
249180160,BRENNA,2015,11,6.5,,.0,8,2.7,,5.3,,PL-SL
249180160,BRENNA,2015,12,4.9,,.0,8,3.4,,4.9,,PL-SL
249190350,ZAWOJA,2015,01,.1,,.0,8,.0,8,6.3,,PL-SK
249190350,ZAWOJA,2015,02,-1.6,,.0,8,1.1,,5.5,,PL-SK
249190350,ZAWOJA,2015,03,2.0,,.0,8,1.5,,4.2,,PL-SK
249190350,ZAWOJA,2015,04,6.1,,.0,8,.0,8,5.2,,PL-SK
249190350,ZAWOJA,2015,05,10.7,,.0,8,.8,,5.3,,PL-SK
249190350,ZAWOJA,2015,06,15.1,,.0,8,1.0,,.0,8,PL-SK
249190350,ZAWOJA,2015,07,18.0,,.0,8,.9,,3.8,,PL-SK
249190350,ZAWOJA,2015,08,18.6,,.0,8,.5,,2.4,,PL-SK
249190350,ZAWOJA,2015,09,12.2,,.0,8,.9,,5.7,,PL-SK
249190350,ZAWOJA,2015,10,6.3,,.0,8,.6,,5.1,,PL-SK
249190350,ZAWOJA,2015,11,4.4,,.0,8,1.0,,4.9,,PL-SK
249190350,ZAWOJA,2015,12,3.4,,.0,8,1.2,,4.5,,PL-SK
249190480,LALIKI,2015,01,-1.9,,.0,8,2.8,,6.9,,PL-WP
249190480,LALIKI,2015,02,-1.5,,.0,8,2.3,,5.3,,PL-WP
249190480,LALIKI,2015,03,2.3,,.0,8,2.7,,4.8,,PL-WP
249190480,LALIKI,2015,04,5.9,,.0,8,2.7,,5.1,,PL-WP
249190480,LALIKI,2015,05,10.6,,.0,8,1.9,,5.8,,PL-WP
249190480,LALIKI,2015,06,15.1,,.0,8,1.4,,4.7,,PL-WP
249190480,LALIKI,2015,07,18.5,,.0,8,1.8,,3.8,,PL-WP
249190480,LALIKI,2015,08,20.0,,.0,8,.8,,3.4,,PL-WP
249190480,LALIKI,2015,09,12.7,,.0,8,1.5,,5.9,,PL-WP
249190480,LALIKI,2015,10,7.0,,.0,8,1.1,,5.3,,PL-WP
249190480,LALIKI,2015,11,4.0,,.0,8,2.8,,5.7,,PL-WP
249190480,LALIKI,2015,12,1.6,,.0,8,3.3,,5.6,,PL-WP
249190680,HALA ORNAK,2015,01,.0,8,.0,8,.0,8,.0,8,PL-ZP
249190680,HALA ORNAK,2015,02,.0,8,.0,8,.0,8,.0,8,PL-ZP
249190680,HALA ORNAK,2015,03,-1.3,,.0,8,.0,8,.0,8,PL-ZP
