Kod_stacji,Nazwa_stacji,Rok,Miesiąc,Miesięczna_suma_opadów_[mm],Status_pomiaru_SUMM,Liczba_dni_z_opadem_śniegu,Status_pomiaru_LDS,Opad_maksymalny_[mm],Status_pomiaru_MAXO,Dzień_pierwszy_wystąpienia_opadu_maksymalnego,Dzień_ostatni_wystąpienia_opadu_maksymalnego,Liczba_dni_z_pokrywą_śnieżną,Status_pomiaru_LDPS,Region
250160420,PASTERKA,2005,01,86.2,,18,,22.1,,20,,0,8,PL-PK
250160420,PASTERKA,2005,02,76.4,,19,,25.2,,12,,0,8,PL-PK
250160420,PASTERKA,2005,03,47.4,,8,,14.4,,11,,0,8,PL-PK
250160420,PASTERKA,2005,04,51.5,,1,,18.7,,09,,0,8,PL-PK
250160420,PASTERKA,2005,05,142.3,,2,,48.3,,23,,0,8,PL-PK
250160420,PASTERKA,2005,06,65.2,,0,,13.3,,04,,0,8,PL-PK
250160420,PASTERKA,2005,07,165.7,,0,,44.2,,30,,0,8,PL-PK
250160420,PASTERKA,2005,08,102.0,,0,,36.3,,23,,0,8,PL-PK
250160420,PASTERKA,2005,09,57.3,,0,,26.6,,16,,0,8,PL-PK
250160420,PASTERKA,2005,10,5.6,,0,,2.3,,23,,0,8,PL-PK
250160420,PASTERKA,2005,11,43.2,,11,,8.8,,26,,0,8,PL-PK
250160420,PASTERKA,2005,12,85.5,,23,,16.2,,16,,0,8,PL-PK
251170040,SZELEJEWO,2005,01,34.6,,9,,8.3,,03,,0,8,PL-KP
251170040,SZELEJEWO,2005,02,30.5,,11,,7.8,,12,,0,8,PL-KP
251170040,SZELEJEWO,2005,03,40.3,,8,,30.5,,17,,0,8,PL-KP
251170040,SZELEJEWO,2005,04,24.2,,0,,9.4,,08,,0,8,PL-KP
251170040,SZELEJEWO,2005,05,63.1,,0,,18.7,,04,,0,8,PL-KP
251170040,SZELEJEWO,2005,06,37.5,,0,,9.2,,07,,0,8,PL-KP
251170040,SZELEJEWO,2005,07,73.9,,0,,21.8,,30,,0,8,PL-KP
251170040,SZELEJEWO,2005,08,68.3,,0,,29.3,,03,,0,8,PL-KP
251170040,SZELEJEWO,2005,09,15.2,,0,,5.5,,15,,0,8,PL-KP
251170040,SZELEJEWO,2005,10,6.7,,0,,2.5,,23,,0,8,PL-KP
251170040,SZELEJEWO,2005,11,21.0,,5,,5.6,,16,,0,8,PL-KP
251170040,SZELEJEWO,2005,12,65.9,,10,,12.3,,06,,0,8,PL-KP
251210190,OPOLE LUBELSKIE,2005,01,42.3,,13,,9.3,,04,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,02,34.8,,16,,8.6,,12,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,03,44.4,,13,,14.1,,18,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,04,14.5,,0,,6.6,,27,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,05,97.1,,0,,57.8,,04,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,06,38.4,,0,,11.0,,06,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,07,77.8,,0,,25.3,,31,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,08,61.2,,0,,15.6,,08,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,09,25.9,,0,,9.3,,16,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,10,6.6,,0,,2.0,,24,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,11,24.7,,6,,5.0,,27,,0,8,PL-OP
251210190,OPOLE LUBELSKIE,2005,12,57.7,,20,,10.2,,30,,0,8,PL-OP
251210210,GRABOWIEC,2005,01,34.4,,13,,7.8,,04,,0,8,PL-ZP
251210210,GRABOWIEC,2005,02,33.2,,16,,8.9,,15,,0,8,PL-ZP
251210210,GRABOWIEC,2005,03,27.4,,10,,9.8,,17,,0,8,PL-ZP
251210210,GRABOWIEC,2005,04,12.4,,0,,4.3,,26,,0,8,PL-ZP
251210210,GRABOWIEC,2005,05,99.7,,0,,50.6,,04,,0,8,PL-ZP
251210210,GRABOWIEC,2005,06,66.6,,0,,17.3,,05,,0,8,PL-ZP
251210210,GRABOWIEC,2005,07,50.9,,0,,10.7,,30,,0,8,PL-ZP
251210210,GRABOWIEC,2005,08,33.2,,0,,6.9,,03,,0,8,PL-ZP
251210210,GRABOWIEC,2005,09,24.7,,0,,11.0,,16,29,0,8,PL-ZP
251210210,GRABOWIEC,2005,10,8.4,,0,,4.3,,24,,0,8,PL-ZP
251210210,GRABOWIEC,2005,11,24.1,,9,,6.7,,27,,0,8,PL-ZP
251210210,GRABOWIEC,2005,12,80.0,,16,,15.2,,30,,0,8,PL-ZP
251210250,KURZACZE,2005,01,39.9,,10,,7.8,,04,,0,8,PL-SK
251210250,KURZACZE,2005,02,36.5,,11,,7.5,,15,,0,8,PL-SK
251210250,KURZACZE,2005,03,32.2,,10,,8.4,,18,,0,8,PL-SK
251210250,KURZACZE,2005,04,14.3,,0,,3.5,,26,,0,8,PL-SK
251210250,KURZACZE,2005,05,93.4,,0,,38.6,,04,,0,8,PL-SK
251210250,KURZACZE,2005,06,81.5,,0,,32.8,,16,,0,8,PL-SK
251210250,KURZACZE,2005,07,56.6,,0,,10.6,,16,,0,8,PL-SK
251210250,KURZACZE,2005,08,25.5,,0,,6.5,,04,,0,8,PL-SK
251210250,KURZACZE,2005,09,20.3,,0,,15.2,,29,,0,8,PL-SK
251210250,KURZACZE,2005,10,6.2,,0,,2.7,,24,,0,8,PL-SK
251210250,KURZACZE,2005,11,20.2,,6,,6.1,,27,,0,8,PL-SK
251210250,KURZACZE,2005,12,74.3,,16,,11.4,,16,,0,8,PL-SK
252150020,DOBIEGNIEW,2005,01,48.4,,7,,9.2,,03,,0,8,PL-LB
252150020,DOBIEGNIEW,2005,02,54.7,,11,,15.7,,12,,0,8,PL-LB
252150020,DOBIEGNIEW,2005,03,20.9,,4,,5.4,,18,,0,8,PL-LB
252150020,DOBIEGNIEW,2005,04,13.1,,0,,8.1,,27,,0,8,PL-LB
252150020,DOBIEGNIEW,2005,05,107.7,,0,,25.2,,07,,0,8,PL-LB
252150020,DOBIEGNIEW,2005,06,48.9,,0,,23.0,,14,,0,8,PL-LB
252150020,DOBIEGNIEW,2005,07,98.9,,0,,25.7,,29,,0,8,PL-LB
252150020,DOBIEGNIEW,2005,08,58.3,,0,,17.0,,03,,0,8,PL-LB
252150020,DOBIEGNIEW,2005,09,40.8,,0,,8.5,,15,,0,8,PL-LB
252150020,DOBIEGNIEW,2005,10,23.7,,0,,8.0,,23,,0,8,PL-LB
