region,area,dt/ha,dt
Polska,1 403 519,"36,4",51 024 447
Dolnośląskie,52 118,"43,5",2 268 428
Kujawsko-pomorskie,100 802,"39,6",3 994 658
Lubelskie,142 545,"35,9",5 110 908
Lubuskie,50 349,"42,3",2 128 806
Łódzkie,135 419,34,4 608 907
Małopolskie,22 226,"31,3",695 853
Mazowieckie,223 205,"30,5",6 808 009
Opolskie,32 528,"49,5",1 610 817
Podkarpackie,28 637,"30,7",878 796
Podlaskie,84 413,"28,4",2 398 957
Pomorskie,56 947,"34,3",1 952 196
Śląskie,37 952,"36,5",1 385 055
Świętokrzyskie,50 267,"29,4",1 477 206
Warmińsko-mazurskie,85 239,"37,1",3 162 212
Wielkopolskie,235 096,"41,7",9 801 874
Zachodniopomorskie,65 776,"41,7",2 741 765
