region,area,dt/ha,dt
Polska,1172722,"28,6",33592711
Dolnośląskie,44649,"33,5",1496164
Kujawsko-pomorskie,79331,"30,1",2386191
Lubelskie,73804,"24,6",1814368
Lubuskie,42581,"33,9",1443494
Łódzkie,155489,"24,1",3747346
Małopolskie,8223,"27,4",225081
Mazowieckie,189316,"22,6",4278151
Opolskie,17983,"38,1",685140
Podkarpackie,14207,"24,8",352749
Podlaskie,59187,"23,6",1399346
Pomorskie,63477,"30,5",1936198
Śląskie,29337,"26,1",766716
Świętokrzyskie,22589,"22,5",507914
Warmińsko-mazurskie,42873,"32,1",1375905
Wielkopolskie,237149,"31,4",7437484
Zachodniopomorskie,92527,"40,4",3740464
