region,area,dt/ha,dt
Polska,760 976,"28,9",21 995 776
Dolnośląskie,18 915,"36,2",684 925
Kujawsko-pomorskie,55 426,"29,5",1 637 747
Lubelskie,36 487,"30,8",1 125 365
Lubuskie,29 336,"32,1",941 743
Łódzkie,100 135,"25,2",2 526 032
Małopolskie,3 940,"29,2",115 136
Mazowieckie,133 873,"24,3",3 258 347
Opolskie,11 000,"40,2",442 169
Podkarpackie,7 698,"27,1",208 934
Podlaskie,41 240,"23,5",969 421
Pomorskie,48 890,"29,6",1 449 530
Śląskie,18 984,"31,1",590 798
Świętokrzyskie,11 905,"22,8",271 327
Warmińsko-mazurskie,31 100,"30,6",952 691
Wielkopolskie,154 564,"29,8",4 607 039
Zachodniopomorskie,57 483,"38,5",2 214 572
