region,area,dt/ha,dt
Polska,920705,"29,1",26776651
Dolnośląskie,135469,"27,6",3739259
Kujawsko-pomorskie,105538,32,3377205
Lubelskie,66747,"24,5",1637556
Lubuskie,34166,"30,7",1048820
Łódzkie,20753,27,559679
Małopolskie,7047,"28,6",201379
Mazowieckie,44848,"24,9",1117047
Opolskie,84313,"33,7",2840411
Podkarpackie,23033,"20,8",479950
Podlaskie,9348,"31,6",295805
Pomorskie,77658,24,1863850
Śląskie,22338,"28,3",631847
Świętokrzyskie,9359,"24,3",227073
Warmińsko-mazurskie,70247,"27,3",1916088
Wielkopolskie,106268,"32,7",3475535
Zachodniopomorskie,103573,"32,5",3365147
