region,area,dt/ha,dt
Polska,262 046,438,114 748 201
Dolnośląskie,26 789,428,11 453 900
Kujawsko-pomorskie,41 497,469,19 482 507
Lubelskie,39 082,411,16 059 997
Lubuskie,3 254,304,989 001
Łódzkie,9 284,399,3 702 667
Małopolskie,1 405,471,662 425
Mazowieckie,23 537,433,10 199 684
Opolskie,19 454,479,9 312 919
Podkarpackie,4 982,487,2 425 090
Podlaskie,4 933,493,2 433 188
Pomorskie,10 872,469,5 094 709
Śląskie,2 143,498,1 067 742
Świętokrzyskie,8 742,407,3 557 252
Warmińsko-mazurskie,4 385,494,2 167 579
Wielkopolskie,50 391,431,21 713 400
Zachodniopomorskie,11 296,392,4 426 141
