region,area,dt/ha,dt
Polska,75 768,"12,3",929 845
Dolnośląskie,19 727,"13,3",262 604
Kujawsko-pomorskie,398,"10,6",4 228
Lubelskie,11 814,"13,8",162 887
Lubuskie,3 569,"12,6",44 823
Łódzkie,909,"10,7",9 705
Małopolskie,64,"14,8",945
Mazowieckie,5 161,"11,3",58 509
Opolskie,784,"13,8",10 819
Podkarpackie,3 382,14,47 254
Podlaskie,2 976,"9,5",28 363
Pomorskie,8 309,"9,8",81 702
Śląskie,1 148,"13,2",15 164
Świętokrzyskie,920,"10,6",9 732
Warmińsko-mazurskie,5 908,"12,9",76 183
Wielkopolskie,1 354,"12,2",16 482
Zachodniopomorskie,9 344,"10,7",100 445
