region,area,dt/ha,dt
Polska,317 193,"58,1",18 444 385
Dolnośląskie,63 971,63,4 031 441
Kujawsko-pomorskie,33 201,49,1 627 512
Lubelskie,19 366,"62,6",1 211 750
Lubuskie,14 950,"45,8",684 251
Łódzkie,10 040,"51,7",519 512
Małopolskie,14 640,"64,3",941 937
Mazowieckie,21 183,"57,3",1 214 717
Opolskie,38 516,"69,3",2 670 545
Podkarpackie,11 387,"60,9",694 029
Podlaskie,6 280,"54,9",345 033
Pomorskie,4 085,"49,4",201 676
Śląskie,14 495,"75,6",1 095 290
Świętokrzyskie,2 374,"55,8",132 407
Warmińsko-mazurskie,6 357,"51,8",329 184
Wielkopolskie,50 201,"48,9",2 455 906
Zachodniopomorskie,6 147,47,289 195
