region,area,dt/ha,dt
Polska,1160598,36,41802333
Dolnośląskie,77658,"40,5",3145222
Kujawsko-pomorskie,161895,"36,5",5905880
Lubelskie,126530,"32,8",4145392
Lubuskie,38611,"34,3",1323889
Łódzkie,79545,"31,8",2530816
Małopolskie,38230,"35,6",1362753
Mazowieckie,61577,"31,2",1918652
Opolskie,68079,"46,5",3164708
Podkarpackie,16432,"31,9",523808
Podlaskie,20076,"29,5",591559
Pomorskie,47800,"34,8",1662498
Śląskie,33292,"35,5",1181167
Świętokrzyskie,54056,"29,8",1612644
Warmińsko-mazurskie,36539,"33,7",1232034
Wielkopolskie,234636,"38,6",9056430
Zachodniopomorskie,65643,"37,2",2444881
