region,area,dt/ha,dt
Polska,1549637,"27,6",42807159
Dolnośląskie,41863,35,1465459
Kujawsko-pomorskie,89055,30,2670383
Lubelskie,113076,"25,8",2920565
Lubuskie,52897,30,1589242
Łódzkie,199267,27,5375328
Małopolskie,11454,"26,9",307708
Mazowieckie,320934,"24,3",7794616
Opolskie,19610,"37,6",736389
Podkarpackie,30864,"25,8",797231
Podlaskie,117925,"24,2",2852630
Pomorskie,82548,26,2145106
Śląskie,35978,"28,8",1036633
Świętokrzyskie,46130,23,1060837
Warmińsko-mazurskie,48977,"24,8",1214795
Wielkopolskie,243072,"31,1",7553779
Zachodniopomorskie,95987,"34,2",3286458
