region,area,dt/ha,dt
Polska,2077206,"41,4",86075939
Dolnośląskie,238600,"44,8",10699128
Kujawsko-pomorskie,146352,"41,3",6038159
Lubelskie,277849,"36,1",10018211
Lubuskie,62038,"43,2",2680662
Łódzkie,85459,"33,6",2872080
Małopolskie,90957,"36,1",3287854
Mazowieckie,149851,"35,2",5278203
Opolskie,145043,"59,7",8658082
Podkarpackie,107235,"35,2",3776398
Podlaskie,42298,"32,6",1377869
Pomorskie,136392,"48,2",6573055
Śląskie,59824,"40,4",2419018
Świętokrzyskie,71206,"31,4",2233796
Warmińsko-mazurskie,150458,44,6617804
Wielkopolskie,156093,"40,7",6345972
Zachodniopomorskie,157550,"45,7",7199648
