region,area,dt/ha,dt
Polska,411704,"56,9",23440274
Dolnośląskie,90527,"61,4",5559435
Kujawsko-pomorskie,39298,"54,1",2124777
Lubelskie,22519,"56,3",1267366
Lubuskie,21552,"55,9",1203992
Łódzkie,15488,"52,1",807678
Małopolskie,13352,"59,3",791505
Mazowieckie,34552,"53,6",1852249
Opolskie,52335,"61,4",3215332
Podkarpackie,12959,"57,7",747525
Podlaskie,3052,"45,4",138606
Pomorskie,6533,"35,3",230939
Śląskie,17746,"62,8",1113639
Świętokrzyskie,3025,50,151250
Warmińsko-mazurskie,9934,"42,9",426384
Wielkopolskie,58844,"56,4",3319036
Zachodniopomorskie,9988,"49,1",490561
