region,area,dt/ha,dt
Polska,71 016,"13,3",944 206
Dolnośląskie,10 328,"14,5",149 841
Kujawsko-pomorskie,591,"12,3",7 271
Lubelskie,13 107,"15,7",205 481
Lubuskie,3 982,"11,4",45 592
Łódzkie,2 117,"13,1",27 646
Małopolskie,223,"17,6",3 925
Mazowieckie,7 086,"12,3",87 453
Opolskie,92,17,1 563
Podkarpackie,3 747,"13,4",50 137
Podlaskie,4 823,"10,4",50 005
Pomorskie,8 110,"11,1",89 761
Śląskie,1 334,"15,4",20 553
Świętokrzyskie,762,"10,4",7 959
Warmińsko-mazurskie,6 624,"14,7",97 084
Wielkopolskie,2 926,"14,5",42 337
Zachodniopomorskie,5 165,"11,2",57 598
