region,area,dt/ha,dt
Polska,2 346 215,"41,7",97 898 556
Dolnośląskie,280 184,45,12 614 741
Kujawsko-pomorskie,196 409,"44,6",8 768 009
Lubelskie,303 183,35,10 618 187
Lubuskie,62 986,"44,6",2 806 567
Łódzkie,98 105,"37,9",3 714 505
Małopolskie,111 231,"32,7",3 638 422
Mazowieckie,139 318,"34,9",4 868 637
Opolskie,158 910,"52,4",8 330 063
Podkarpackie,135 880,"33,1",4 499 300
Podlaskie,42 909,"30,8",1 323 281
Pomorskie,133 978,"48,3",6 476 907
Śląskie,66 931,38,2 542 625
Świętokrzyskie,77 095,"32,8",2 530 894
Warmińsko-mazurskie,142 353,"41,9",5 965 049
Wielkopolskie,215 217,47,10 109 066
Zachodniopomorskie,181 528,"50,1",9 092 303
