region,area,dt/ha,dt
Polska,373 003,242,90 412 532
Dolnośląskie,26 488,278,7 358 736
Kujawsko-pomorskie,21 157,242,5 128 554
Lubelskie,32 750,230,7 517 112
Lubuskie,10 282,249,2 563 872
Łódzkie,41 691,266,11 105 241
Małopolskie,28 130,219,6 171 208
Mazowieckie,45 952,221,10 156 995
Opolskie,11 770,309,3 637 229
Podkarpackie,27 457,219,6 013 555
Podlaskie,12 704,210,2 667 838
Pomorskie,23 444,255,5 987 889
Śląskie,8 416,219,1 842 541
Świętokrzyskie,20 580,199,4 101 515
Warmińsko-mazurskie,10 210,207,2 110 504
Wielkopolskie,40 485,273,11 058 556
Zachodniopomorskie,11 486,260,2 991 187
