region,area,dt/ha,dt
Polska,1 220 596,"25,9",31 610 414
Dolnośląskie,96 155,"26,9",2 584 018
Kujawsko-pomorskie,132 589,"27,9",3 692 777
Lubelskie,151 572,"22,4",3 389 566
Lubuskie,37 210,"19,6",728 172
Łódzkie,62 387,"23,7",1 478 199
Małopolskie,49 992,"26,6",1 330 696
Mazowieckie,69 118,"23,3",1 611 880
Opolskie,75 636,"32,3",2 444 020
Podkarpackie,30 812,25,768 987
Podlaskie,22 359,"21,4",478 629
Pomorskie,59 097,"27,5",1 623 651
Śląskie,42 251,"25,5",1 077 521
Świętokrzyskie,64 373,"21,1",1 361 104
Warmińsko-mazurskie,61 809,"23,8",1 472 218
Wielkopolskie,173 961,"28,7",4 988 944
Zachodniopomorskie,91 275,"28,3",2 580 032
