region,area,dt/ha,dt
Polska,1013903,"35,2",35707872
Dolnośląskie,73063,"40,1",2930820
Kujawsko-pomorskie,111628,36,4015744
Lubelskie,122353,"31,3",3828658
Lubuskie,29215,"35,3",1031150
Łódzkie,49015,"31,1",1523878
Małopolskie,45645,"33,9",1549102
Mazowieckie,51952,"29,9",1554646
Opolskie,58069,"45,4",2635807
Podkarpackie,26020,32,832173
Podlaskie,18605,"28,3",526972
Pomorskie,53315,"32,1",1713705
Śląskie,36953,"35,7",1320897
Świętokrzyskie,59185,"29,3",1731203
Warmińsko-mazurskie,46453,"29,5",1372453
Wielkopolskie,153899,"40,6",6254885
Zachodniopomorskie,78533,"36,7",2885779
