region,area,dt/ha,dt
Polska,2 277 954,"40,7",92 749 252
Dolnośląskie,257 134,"45,5",11 703 326
Kujawsko-pomorskie,191 868,"41,6",7 975 454
Lubelskie,298 339,38,11 351 606
Lubuskie,66 584,"32,8",2 181 266
Łódzkie,100 420,"34,1",3 420 703
Małopolskie,111 462,"34,9",3 885 304
Mazowieckie,130 492,"35,3",4 611 482
Opolskie,160 305,"58,3",9 349 093
Podkarpackie,130 055,"34,9",4 543 372
Podlaskie,41 964,31,1 302 360
Pomorskie,128 499,"46,3",5 943 266
Śląskie,62 665,"41,3",2 589 695
Świętokrzyskie,72 417,"35,7",2 586 574
Warmińsko-mazurskie,137 797,"43,2",5 958 388
Wielkopolskie,200 357,39,7 804 787
Zachodniopomorskie,187 596,"40,2",7 542 576
