region,area,dt/ha,dt
Polska,550 617,"22,9",12 623 927
Dolnośląskie,22 755,"25,9",588 962
Kujawsko-pomorskie,11 228,"19,6",220 364
Lubelskie,78 036,27,2 106 897
Lubuskie,13 129,"13,3",175 188
Łódzkie,36 274,"21,8",791 451
Małopolskie,20 922,"24,9",520 018
Mazowieckie,97 330,"22,7",2 208 595
Opolskie,7 765,"34,9",271 203
Podkarpackie,28 626,"27,4",785 731
Podlaskie,49 488,"24,2",1 199 104
Pomorskie,33 749,"19,4",654 791
Śląskie,11 592,"29,7",344 332
Świętokrzyskie,20 502,"24,9",509 866
Warmińsko-mazurskie,25 995,"24,1",626 991
Wielkopolskie,39 785,18,716 370
Zachodniopomorskie,53 441,"16,9",904 064
