region,area,dt/ha,dt
Polska,24 358,"16,8",409 652
Dolnośląskie,585,"16,9",9 868
Kujawsko-pomorskie,649,"15,6",10 154
Lubelskie,1 212,"13,1",15 820
Lubuskie,4 832,"14,4",69 527
Łódzkie,482,"15,3",7 375
Małopolskie,240,17,4 080
Mazowieckie,1 855,"19,3",35 774
Opolskie,131,"18,5",2 426
Podkarpackie,211,"15,8",3 334
Podlaskie,2,10,20
Pomorskie,854,"8,6",7 371
Śląskie,70,26,1 820
Świętokrzyskie,7 263,23,166 733
Warmińsko-mazurskie,90,"12,6",1 134
Wielkopolskie,2 491,"11,4",28 377
Zachodniopomorskie,3 391,"13,5",45 839
