region,area,dt/ha,dt
Polska,2 258 712,"41,3",93 392 054
Dolnośląskie,258 373,"48,1",12 424 253
Kujawsko-pomorskie,194 765,"43,4",8 457 117
Lubelskie,299 575,"36,2",10 856 481
Lubuskie,66 992,"34,1",2 287 511
Łódzkie,107 593,"38,6",4 156 394
Małopolskie,100 529,"35,2",3 533 898
Mazowieckie,105 529,"32,2",3 398 400
Opolskie,158 833,"58,1",9 235 497
Podkarpackie,102 530,"32,9",3 372 545
Podlaskie,41 840,"30,4",1 271 990
Pomorskie,132 506,"48,1",6 367 780
Śląskie,69 781,"42,2",2 943 156
Świętokrzyskie,69 543,"31,3",2 178 409
Warmińsko-mazurskie,157 659,42,6 621 456
Wielkopolskie,211 675,"41,1",8 700 440
Zachodniopomorskie,180 989,"41,9",7 586 727
