region,area,dt/ha,dt
Polska,274 056,"62,3",17 065 648
Dolnośląskie,49 236,"65,7",3 233 894
Kujawsko-pomorskie,27 081,"59,7",1 617 606
Lubelskie,14 652,"56,9",834 256
Lubuskie,14 370,"61,9",889 246
Łódzkie,7 757,61,472 809
Małopolskie,11 061,"61,6",681 253
Mazowieckie,18 465,"63,8",1 177 824
Opolskie,33 641,67,2 253 869
Podkarpackie,11 440,"57,5",657 855
Podlaskie,4 446,"47,2",209 636
Pomorskie,4 684,"49,9",233 793
Śląskie,13 610,"73,5",1 000 884
Świętokrzyskie,2 055,"57,3",117 848
Warmińsko-mazurskie,5 945,"55,6",330 502
Wielkopolskie,48 845,"62,3",3 042 130
Zachodniopomorskie,6 767,"46,1",312 243
