region,area,dt/ha,dt
Polska,839 265,"35,3",29 606 619
Dolnośląskie,59 269,"42,9",2 539 840
Kujawsko-pomorskie,86 140,32,2 753 660
Lubelskie,103 555,"34,2",3 546 660
Lubuskie,21 369,"34,2",731 817
Łódzkie,52 811,"30,4",1 604 559
Małopolskie,36 797,"33,7",1 241 878
Mazowieckie,51 455,"26,7",1 372 495
Opolskie,59 897,"43,8",2 625 346
Podkarpackie,22 408,32,717 090
Podlaskie,19 937,"26,8",534 041
Pomorskie,32 837,"36,8",1 207 016
Śląskie,31 264,"33,2",1 037 091
Świętokrzyskie,43 884,"31,7",1 391 458
Warmińsko-mazurskie,32 131,"31,4",1 009 195
Wielkopolskie,139 231,"37,3",5 187 341
Zachodniopomorskie,46 280,"45,5",2 107 132
