region,area,dt/ha,dt
Polska,32 422,"13,5",437 669
Dolnośląskie,967,"14,2",13 684
Kujawsko-pomorskie,678,"19,6",13 297
Lubelskie,779,"15,4",12 028
Lubuskie,9 064,"12,5",113 606
Łódzkie,527,"12,3",6 482
Małopolskie,290,19,5 510
Mazowieckie,3 409,"12,6",42 900
Opolskie,15,"26,5",398
Podkarpackie,253,"14,2",3 593
Podlaskie,24,15,360
Pomorskie,1 002,"11,3",11 372
Śląskie,223,16,3 568
Świętokrzyskie,4 053,"21,7",87 943
Warmińsko-mazurskie,389,"13,8",5 369
Wielkopolskie,4 074,"10,1",41 265
Zachodniopomorskie,6 675,"11,4",76 294
