region,area,dt/ha,dt
Polska,70 384,"12,9",908 740
Dolnośląskie,13 631,"12,8",174 625
Kujawsko-pomorskie,386,"11,9",4 599
Lubelskie,16 434,"14,1",231 612
Lubuskie,2 912,"11,5",33 520
Łódzkie,1 642,"10,9",17 908
Małopolskie,298,18,5 364
Mazowieckie,4 973,"11,2",55 576
Opolskie,349,"23,5",8 191
Podkarpackie,2 899,"12,2",35 248
Podlaskie,3 580,"11,6",41 381
Pomorskie,7 000,"12,2",85 598
Śląskie,1 460,"14,2",20 766
Świętokrzyskie,965,"11,9",11 486
Warmińsko-mazurskie,5 352,"15,3",82 005
Wielkopolskie,1 072,"11,6",12 445
Zachodniopomorskie,7 431,"11,9",88 416
