region,area,dt/ha,dt
Polska,1479312,"21,4",31722399
Dolnośląskie,43413,"24,3",1055750
Kujawsko-pomorskie,87802,"21,5",1885276
Lubelskie,101355,"22,7",2305275
Lubuskie,42276,"16,7",704556
Łódzkie,194254,"19,4",3765475
Małopolskie,12766,"24,9",318508
Mazowieckie,309645,"21,6",6674141
Opolskie,18528,"29,1",539602
Podkarpackie,30565,"23,5",717554
Podlaskie,105391,"21,1",2222583
Pomorskie,78997,21,1659984
Śląskie,36893,"25,5",940269
Świętokrzyskie,45006,"20,3",914367
Warmińsko-mazurskie,48724,"24,9",1211367
Wielkopolskie,239773,"20,2",4849112
Zachodniopomorskie,83924,"23,3",1958580
