region,area,dt/ha,dt
Polska,1 516 168,"35,2",53 394 367
Dolnośląskie,44 776,"38,9",1 740 441
Kujawsko-pomorskie,121 882,"38,8",4 732 350
Lubelskie,155 926,"34,5",5 382 658
Lubuskie,42 816,"38,7",1 656 735
Łódzkie,152 561,"33,1",5 042 459
Małopolskie,23 420,"29,8",698 034
Mazowieckie,237 881,"28,9",6 871 929
Opolskie,32 786,44,1 441 409
Podkarpackie,31 303,"29,6",927 591
Podlaskie,95 510,"28,1",2 680 040
Pomorskie,77 878,"37,3",2 904 374
Śląskie,38 628,"33,2",1 281 932
Świętokrzyskie,50 654,"30,2",1 527 993
Warmińsko-mazurskie,85 995,"37,3",3 203 657
Wielkopolskie,254 428,"40,5",10 312 412
Zachodniopomorskie,69 724,"42,9",2 990 353
