region,area,dt/ha,dt
Polska,548 884,191,104 620 948
Dolnośląskie,28 378,209,5 930 036
Kujawsko-pomorskie,26 648,183,4 887 585
Lubelskie,44 413,202,8 965 050
Lubuskie,11 837,177,2 100 953
Łódzkie,62 901,186,11 683 188
Małopolskie,46 439,173,8 031 681
Mazowieckie,82 113,191,15 688 435
Opolskie,13 688,233,3 186 007
Podkarpackie,50 455,182,9 182 405
Podlaskie,24 006,190,4 558 695
Pomorskie,28 846,218,6 288 285
Śląskie,14 909,205,3 056 968
Świętokrzyskie,30 097,181,5 443 331
Warmińsko-mazurskie,12 271,203,2 487 125
Wielkopolskie,46 700,165,7 716 572
Zachodniopomorskie,25 181,215,5 414 632
