region,area,dt/ha,dt
Polska,33826,"11,1",376576
Dolnośląskie,5582,"11,6",64646
Kujawsko-pomorskie,102,"12,5",1277
Lubelskie,11029,"12,1",133818
Lubuskie,640,"8,2",5263
Łódzkie,622,"7,8",4853
Małopolskie,45,"12,3",554
Mazowieckie,3605,"9,8",35254
Opolskie,17,"12,9",220
Podkarpackie,814,"12,5",10175
Podlaskie,2123,"10,6",22510
Pomorskie,2604,"11,2",29148
Śląskie,356,"11,4",4047
Świętokrzyskie,1571,"10,5",16496
Warmińsko-mazurskie,1366,"10,8",14723
Wielkopolskie,699,"8,2",5731
Zachodniopomorskie,2651,"10,5",27861
