region,area,dt/ha,dt
Polska,1 017 951,"32,7",33 258 864
Dolnośląskie,62 251,"39,3",2 448 733
Kujawsko-pomorskie,104 107,"32,1",3 340 681
Lubelskie,121 285,"31,2",3 789 090
Lubuskie,37 531,"23,8",894 563
Łódzkie,53 373,"32,3",1 722 643
Małopolskie,42 288,"34,2",1 444 237
Mazowieckie,58 497,"28,3",1 652 754
Opolskie,61 757,"45,8",2 829 053
Podkarpackie,19 893,"30,1",599 321
Podlaskie,22 740,"26,7",607 678
Pomorskie,51 410,"32,2",1 653 255
Śląskie,31 225,"35,2",1 099 929
Świętokrzyskie,52 294,"28,9",1 513 750
Warmińsko-mazurskie,50 824,"31,1",1 580 209
Wielkopolskie,173 915,"32,6",5 662 823
Zachodniopomorskie,74 562,"32,5",2 420 145
