region,area,dt/ha,dt
Polska,199 936,543,108 491 579
Dolnośląskie,20 564,537,11 036 752
Kujawsko-pomorskie,35 264,566,19 972 413
Lubelskie,28 391,559,15 881 459
Lubuskie,2 030,467,947 766
Łódzkie,6 713,549,3 683 947
Małopolskie,1 333,584,778 581
Mazowieckie,14 474,479,6 928 901
Opolskie,13 668,603,8 238 430
Podkarpackie,4 880,462,2 253 994
Podlaskie,418,424,177 218
Pomorskie,10 572,462,4 883 670
Śląskie,1 367,627,857 202
Świętokrzyskie,5 809,475,2 761 116
Warmińsko-mazurskie,2 925,487,1 423 659
Wielkopolskie,41 884,579,24 233 940
Zachodniopomorskie,9 643,460,4 432 531
