region,area,dt/ha,dt
Polska,623 853,"26,5",16 515 249
Dolnośląskie,84 471,"28,5",2 409 750
Kujawsko-pomorskie,79 731,"26,4",2 104 430
Lubelskie,28 616,"23,1",659 726
Lubuskie,18 679,"24,3",454 759
Łódzkie,11 524,"21,1",243 077
Małopolskie,2 996,"27,6",82 570
Mazowieckie,21 184,"25,6",542 311
Opolskie,64 282,"28,9",1 859 530
Podkarpackie,11 556,"21,7",250 249
Podlaskie,3 906,"19,2",75 002
Pomorskie,51 317,"28,2",1 445 147
Śląskie,14 968,26,389 665
Świętokrzyskie,4 059,"21,3",86 477
Warmińsko-mazurskie,56 141,"23,5",1 317 555
Wielkopolskie,83 653,"29,1",2 433 872
Zachodniopomorskie,86 770,"24,9",2 161 129
