region,area,dt/ha,dt
Polska,64 514,"10,7",687 255
Dolnośląskie,10 929,"12,1",132 448
Kujawsko-pomorskie,286,"6,6",1 879
Lubelskie,14 890,"13,5",200 793
Lubuskie,3 885,"7,2",27 970
Łódzkie,1 288,"10,7",13 813
Małopolskie,87,"27,9",2 427
Mazowieckie,4 275,"8,9",38 027
Opolskie,302,"16,6",5 007
Podkarpackie,3 153,"13,8",43 398
Podlaskie,3 770,10,37 874
Pomorskie,6 785,"8,8",59 811
Śląskie,752,"9,2",6 886
Świętokrzyskie,896,"11,1",9 981
Warmińsko-mazurskie,3 274,"9,3",30 596
Wielkopolskie,894,5,4 434
Zachodniopomorskie,9 049,"7,9",71 911
