region,area,dt/ha,dt
Polska,713250,196,139986544
Dolnośląskie,34399,221,7599231
Kujawsko-pomorskie,33358,223,7448683
Lubelskie,64119,193,12371749
Lubuskie,12996,202,2628116
Łódzkie,72326,192,13920005
Małopolskie,57824,170,9832220
Mazowieckie,97945,188,18446200
Opolskie,16647,212,3526894
Podkarpackie,60294,181,10912511
Podlaskie,40391,186,7515070
Pomorskie,33916,218,7408179
Śląskie,24950,196,4889857
Świętokrzyskie,44276,175,7746897
Warmińsko-mazurskie,20817,197,4102438
Wielkopolskie,72370,215,15525262
Zachodniopomorskie,26622,230,6113232
