region,area,dt/ha,dt
Polska,926 147,"37,2",34 410 901
Dolnośląskie,56 531,"44,6",2 523 291
Kujawsko-pomorskie,97 662,36,3 511 034
Lubelskie,119 898,"38,1",4 569 166
Lubuskie,27 624,"35,8",990 265
Łódzkie,63 255,31,1 958 864
Małopolskie,34 581,"36,7",1 270 778
Mazowieckie,60 233,31,1 868 170
Opolskie,55 989,"52,4",2 935 093
Podkarpackie,22 896,34,777 697
Podlaskie,23 417,"28,5",666 735
Pomorskie,49 749,36,1 790 724
Śląskie,29 130,"37,7",1 099 094
Świętokrzyskie,47 140,"30,9",1 455 216
Warmińsko-mazurskie,48 763,"33,1",1 612 708
Wielkopolskie,131 329,38,4 996 453
Zachodniopomorskie,57 950,"41,2",2 385 613
