region,area,dt/ha,dt
Polska,197 638,683,134 888 752
Dolnośląskie,17 317,752,13 023 609
Kujawsko-pomorskie,37 449,619,23 178 469
Lubelskie,34 471,610,21 017 483
Lubuskie,1 558,768,1 196 537
Łódzkie,5 682,686,3 898 151
Małopolskie,988,834,824 182
Mazowieckie,11 909,626,7 459 212
Opolskie,13 065,880,11 494 746
Podkarpackie,3 647,739,2 694 038
Podlaskie,85,602,51 000
Pomorskie,9 169,666,6 109 341
Śląskie,1 564,938,1 466 342
Świętokrzyskie,4 018,737,2 960 741
Warmińsko-mazurskie,3 093,555,1 714 900
Wielkopolskie,42 360,699,29 620 413
Zachodniopomorskie,11 263,726,8 179 588
