region,area,dt/ha,dt
Polska,507 952,191,97 027 958
Dolnośląskie,22 550,204,4 589 012
Kujawsko-pomorskie,23 303,202,4 698 488
Lubelskie,41 456,189,7 834 987
Lubuskie,11 803,191,2 252 570
Łódzkie,50 744,210,10 667 943
Małopolskie,42 807,161,6 873 510
Mazowieckie,84 576,166,14 039 939
Opolskie,13 249,215,2 847 398
Podkarpackie,47 991,178,8 531 451
Podlaskie,22 718,161,3 656 418
Pomorskie,26 772,228,6 104 643
Śląskie,13 817,209,2 885 614
Świętokrzyskie,25 827,173,4 462 479
Warmińsko-mazurskie,12 142,175,2 129 997
Wielkopolskie,43 328,226,9 810 116
Zachodniopomorskie,24 870,227,5 643 393
