region,area,dt/ha,dt
Polska,302 977,"41,6",12 606 574
Dolnośląskie,69 892,"43,7",3 054 919
Kujawsko-pomorskie,22 124,"41,5",917 852
Lubelskie,14 950,"37,7",564 352
Lubuskie,15 280,"28,7",438 773
Łódzkie,10 934,"38,6",422 314
Małopolskie,10 960,"50,8",556 903
Mazowieckie,23 640,40,944 467
Opolskie,44 169,"42,4",1 873 192
Podkarpackie,10 220,"50,8",519 038
Podlaskie,3 602,"39,4",141 858
Pomorskie,5 015,"35,4",177 775
Śląskie,14 734,"51,5",758 423
Świętokrzyskie,3 400,"37,3",126 824
Warmińsko-mazurskie,6 110,"42,7",261 202
Wielkopolskie,41 307,"38,2",1 576 543
Zachodniopomorskie,6 640,41,272 139
