region,area,dt/ha,dt
Polska,1 194 537,"32,7",39 029 228
Dolnośląskie,26 036,"37,8",984 440
Kujawsko-pomorskie,119 846,"33,3",3 987 009
Lubelskie,108 202,"28,9",3 130 921
Lubuskie,34 347,"34,1",1 172 584
Łódzkie,102 449,"30,9",3 161 947
Małopolskie,18 078,"28,5",515 095
Mazowieckie,150 837,"30,1",4 542 175
Opolskie,27 176,"41,7",1 134 269
Podkarpackie,19 029,"27,9",530 351
Podlaskie,82 288,"30,6",2 515 690
Pomorskie,59 315,"31,7",1 881 535
Śląskie,33 294,"33,2",1 104 508
Świętokrzyskie,37 116,"27,2",1 010 229
Warmińsko-mazurskie,88 495,26,2 302 756
Wielkopolskie,229 404,"39,1",8 974 314
Zachodniopomorskie,58 626,"35,5",2 081 405
