region,area,dt/ha,dt
Polska,595 405,"72,9",43 429 100
Dolnośląskie,74 769,"70,4",5 261 990
Kujawsko-pomorskie,79 976,"70,6",5 647 672
Lubelskie,31 612,"66,4",2 099 607
Lubuskie,15 605,"74,3",1 160 195
Łódzkie,30 440,"75,4",2 294 818
Małopolskie,25 879,"73,2",1 895 567
Mazowieckie,46 763,"63,6",2 972 810
Opolskie,53 911,85,4 581 243
Podkarpackie,31 797,"70,1",2 228 964
Podlaskie,15 924,"73,5",1 170 344
Pomorskie,6 803,"61,8",420 706
Śląskie,19 211,"82,2",1 579 849
Świętokrzyskie,5 898,"60,2",355 151
Warmińsko-mazurskie,10 864,"60,6",658 288
Wielkopolskie,138 810,"76,4",10 610 959
Zachodniopomorskie,7 143,"68,7",490 937
