region,area,dt/ha,dt
Polska,460 695,"26,5",12 196 200
Dolnośląskie,14 843,"31,7",470 569
Kujawsko-pomorskie,9 980,"27,1",270 138
Lubelskie,64 800,"29,6",1 919 245
Lubuskie,7 856,"25,8",202 951
Łódzkie,45 485,"24,1",1 097 035
Małopolskie,16 098,"24,7",397 417
Mazowieckie,102 580,"22,7",2 329 974
Opolskie,4 856,"32,6",158 331
Podkarpackie,23 986,"26,6",638 591
Podlaskie,41 496,"25,8",1 070 549
Pomorskie,24 634,"30,3",747 182
Śląskie,11 767,"30,1",354 534
Świętokrzyskie,12 996,"22,9",297 027
Warmińsko-mazurskie,19 010,"27,5",522 410
Wielkopolskie,39 186,"25,8",1 010 127
Zachodniopomorskie,21 122,"33,6",710 120
