region,area,dt/ha,dt
Polska,1 085 471,24,26 006 756
Dolnośląskie,36 764,31,1 141 501
Kujawsko-pomorskie,63 504,"24,6",1 561 629
Lubelskie,92 811,24,2 224 384
Lubuskie,46 771,"20,8",973 663
Łódzkie,126 192,"23,4",2 953 216
Małopolskie,7 528,"27,3",205 671
Mazowieckie,206 598,20,4 136 154
Opolskie,14 870,"36,4",541 135
Podkarpackie,14 050,"24,4",342 966
Podlaskie,72 671,"21,1",1 533 482
Pomorskie,61 637,"25,5",1 571 557
Śląskie,28 239,"26,9",760 845
Świętokrzyskie,21 517,"22,7",488 237
Warmińsko-mazurskie,36 037,"26,8",966 288
Wielkopolskie,187 913,"24,3",4 571 862
Zachodniopomorskie,68 369,"29,8",2 034 166
