region,area,dt/ha,dt
Polska,1 396 520,"24,7",34 485 470
Dolnośląskie,46 443,"29,2",1 357 142
Kujawsko-pomorskie,76 804,"23,5",1 808 314
Lubelskie,95 903,"26,8",2 566 782
Lubuskie,55 252,"21,2",1 170 723
Łódzkie,180 047,"23,2",4 183 239
Małopolskie,9 407,"27,7",260 771
Mazowieckie,291 586,"23,1",6 725 370
Opolskie,18 773,"39,6",743 315
Podkarpackie,25 195,"25,8",650 699
Podlaskie,98 882,"23,5",2 328 437
Pomorskie,60 618,"25,2",1 530 526
Śląskie,33 742,"28,3",955 871
Świętokrzyskie,38 524,"24,3",936 352
Warmińsko-mazurskie,44 784,"29,2",1 306 028
Wielkopolskie,228 495,23,5 266 124
Zachodniopomorskie,92 065,"29,3",2 695 777
