region,area,dt/ha,dt
Polska,1269258,"33,4",42 353 277
Dolnośląskie,33 751,"36,3",1 225 822
Kujawsko-pomorskie,122 122,37,4 517 434
Lubelskie,100 521,"28,4",2 859 528
Lubuskie,34 624,"28,1",972 827
Łódzkie,130 347,35,4 561 586
Małopolskie,14 766,30,442 329
Mazowieckie,186 719,"29,7",5 541 284
Opolskie,19 216,"45,6",876 202
Podkarpackie,14 653,"28,2",412 931
Podlaskie,72 806,"28,7",2 090 491
Pomorskie,66 120,"32,1",2 122 264
Śląskie,35 778,"34,8",1 245 830
Świętokrzyskie,42 111,"28,1",1 184 070
Warmińsko-mazurskie,90 840,"35,8",3 256 342
Wielkopolskie,248 785,"36,8",9 151 602
Zachodniopomorskie,56 098,"33,7",1 892 735
