region,area,dt/ha,dt
Polska,67 531,"10,7",720 957
Dolnośląskie,11 702,14,163 783
Kujawsko-pomorskie,605,"7,7",4 658
Lubelskie,16 371,"11,5",188 209
Lubuskie,1 611,"13,1",21 034
Łódzkie,1 805,"12,5",22 566
Małopolskie,89,"14,9",1 329
Mazowieckie,4 419,"8,8",38 920
Opolskie,27,"10,4",282
Podkarpackie,1 683,"14,8",24 908
Podlaskie,4 425,"8,4",37 165
Pomorskie,7 234,"7,2",52 353
Śląskie,717,"12,3",8 813
Świętokrzyskie,1 242,9,11 179
Warmińsko-mazurskie,5 843,"8,7",51 102
Wielkopolskie,1 820,"7,9",14 375
Zachodniopomorskie,7 937,"10,1",80 281
