region,area,dt/ha,dt
Polska,356337,"52,9",18836771
Dolnośląskie,93200,"55,4",5163309
Kujawsko-pomorskie,25713,"57,2",1472037
Lubelskie,16750,"52,3",875238
Lubuskie,13359,"46,4",620134
Łódzkie,12814,"46,8",599705
Małopolskie,12487,"54,5",680641
Mazowieckie,20166,"52,7",1062085
Opolskie,52866,"53,5",2826917
Podkarpackie,11761,"55,9",656903
Podlaskie,5907,"46,6",275339
Pomorskie,4474,"18,6",83433
Śląskie,16964,"62,5",1060862
Świętokrzyskie,2064,"45,5",93845
Warmińsko-mazurskie,5997,"49,9",299540
Wielkopolskie,55374,"48,6",2691839
Zachodniopomorskie,6441,"58,2",374944
