region,area,dt/ha,dt
Polska,203 512,574,116 741 533
Dolnośląskie,18 769,635,11 910 788
Kujawsko-pomorskie,37 629,561,21 116 011
Lubelskie,31 308,545,17 056 582
Lubuskie,2 008,374,750 008
Łódzkie,7 221,493,3 557 321
Małopolskie,1 016,631,641 246
Mazowieckie,12 596,400,5 042 499
Opolskie,14 965,677,10 129 618
Podkarpackie,3 294,487,1 605 416
Podlaskie,716,451,322 744
Pomorskie,10 220,542,5 539 440
Śląskie,2 162,535,1 156 625
Świętokrzyskie,4 447,655,2 913 809
Warmińsko-mazurskie,2 938,496,1 457 285
Wielkopolskie,42 467,607,25 794 198
Zachodniopomorskie,11 757,659,7 747 943
