region,area,dt/ha,dt
Polska,28 009,"12,8",357 719
Dolnośląskie,601,"14,1",8 480
Kujawsko-pomorskie,1 057,"12,5",13 255
Lubelskie,1 619,"9,2",14 867
Lubuskie,5 725,"8,9",51 214
Łódzkie,1 151,"16,4",18 912
Małopolskie,47,"14,8",696
Mazowieckie,1 253,"14,9",18 634
Opolskie,84,"14,4",1 210
Podkarpackie,490,"11,5",5 635
Podlaskie,-,-,-
Pomorskie,1 167,"11,8",13 729
Śląskie,46,7,322
Świętokrzyskie,5 447,"22,4",122 090
Warmińsko-mazurskie,319,"10,2",3 254
Wielkopolskie,4 002,"7,8",31 085
Zachodniopomorskie,5 001,"10,9",54 336
