region,area,dt/ha,dt
Polska,286 179,410,117 305 536
Dolnośląskie,27 120,437,11 849 300
Kujawsko-pomorskie,48 840,373,18 202 116
Lubelskie,45 186,385,17 384 700
Lubuskie,3 514,365,1 282 144
Łódzkie,10 946,361,3 948 490
Małopolskie,1 747,491,857 814
Mazowieckie,22 187,409,9 070 924
Opolskie,19 269,472,9 091 840
Podkarpackie,7 451,348,2 594 402
Podlaskie,5 802,414,2 400 250
Pomorskie,12 551,415,5 206 982
Śląskie,3 018,390,1 176 537
Świętokrzyskie,9 195,417,3 835 176
Warmińsko-mazurskie,3 821,475,1 813 410
Wielkopolskie,52 906,437,23 093 890
Zachodniopomorskie,12 628,435,5 497 561
