region,area,dt/ha,dt
Polska,1042046,"27,7",28881367
Dolnośląskie,33866,"32,9",1113116
Kujawsko-pomorskie,55215,"28,4",1566555
Lubelskie,72664,"25,3",1841271
Lubuskie,44475,"31,6",1407016
Łódzkie,129191,"24,9",3219959
Małopolskie,5876,"29,2",171477
Mazowieckie,189257,"22,6",4268846
Opolskie,13915,"37,1",516445
Podkarpackie,9138,"25,8",236119
Podlaskie,64797,"24,7",1599003
Pomorskie,62096,"29,6",1841105
Śląskie,24065,"28,2",678019
Świętokrzyskie,19816,"22,9",454035
Warmińsko-mazurskie,38943,"30,4",1182440
Wielkopolskie,195016,"29,6",5775485
Zachodniopomorskie,83716,36,3010476
