region,area,dt/ha,dt
Polska,339 342,"57,3",19 454 021
Dolnośląskie,74 818,"63,8",4 775 648
Kujawsko-pomorskie,33 523,"47,1",1 579 262
Lubelskie,18 780,"55,4",1 039 732
Lubuskie,17 971,"57,6",1 034 389
Łódzkie,10 615,"47,5",503 792
Małopolskie,13 234,"61,9",819 286
Mazowieckie,24 443,"52,5",1 282 191
Opolskie,40 530,"66,4",2 693 151
Podkarpackie,11 306,"54,1",611 367
Podlaskie,4 273,"50,3",214 798
Pomorskie,5 966,"43,9",261 900
Śląskie,14 423,"60,8",876 888
Świętokrzyskie,2 848,"46,8",133 287
Warmińsko-mazurskie,6 485,"47,7",309 370
Wielkopolskie,51 746,"55,7",2 881 436
Zachodniopomorskie,8 382,"52,2",437 524
