region,area,dt/ha,dt
Polska,725 257,"27,8",20 131 476
Dolnośląskie,19 503,"34,5",671 920
Kujawsko-pomorskie,44 413,27,1 198 693
Lubelskie,52 046,"29,5",1 534 736
Lubuskie,21 589,"29,9",645 819
Łódzkie,100 196,"24,5",2 457 326
Małopolskie,4 343,"27,4",119 050
Mazowieckie,141 227,"22,5",3 175 097
Opolskie,7 506,"40,8",306 229
Podkarpackie,8 742,26,227 053
Podlaskie,37 799,"23,8",900 958
Pomorskie,51 386,"30,8",1 584 518
Śląskie,16 877,"26,6",449 517
Świętokrzyskie,10 772,"23,7",255 070
Warmińsko-mazurskie,27 031,"29,3",792 019
Wielkopolskie,129 861,"28,5",3 700 718
Zachodniopomorskie,51 966,"40,7",2 112 753
