region,area,dt/ha,dt
Polska,1 464 981,"35,7",52 339 834
Dolnośląskie,27 563,"38,4",1 059 614
Kujawsko-pomorskie,138 237,"38,7",5 350 010
Lubelskie,133 672,"27,4",3 657 841
Lubuskie,37 021,"41,1",1 523 066
Łódzkie,149 928,"35,3",5 299 392
Małopolskie,19 036,"28,1",535 228
Mazowieckie,227 251,"31,8",7 229 338
Opolskie,28 308,"45,2",1 279 993
Podkarpackie,22 134,"28,5",630 132
Podlaskie,102 126,"30,1",3 076 479
Pomorskie,70 227,"33,8",2 374 865
Śląskie,34 746,"32,8",1 139 858
Świętokrzyskie,45 139,"29,6",1 336 523
Warmińsko-mazurskie,103 336,37,3 820 908
Wielkopolskie,268 594,"43,6",11 708 770
Zachodniopomorskie,57 663,"40,2",2 317 817
