region,area,dt/ha,dt
Polska,614 341,"65,8",40 396 557
Dolnośląskie,88 056,"66,1",5 817 537
Kujawsko-pomorskie,83 393,"66,6",5 551 361
Lubelskie,35 839,68,2 437 882
Lubuskie,18 846,"67,4",1 270 982
Łódzkie,28 051,57,1 599 637
Małopolskie,24 272,63,1 528 019
Mazowieckie,57 134,"55,2",3 153 388
Opolskie,50 293,"70,9",3 563 702
Podkarpackie,24 774,"63,7",1 577 896
Podlaskie,19 931,"61,9",1 234 471
Pomorskie,10 335,"61,2",632 795
Śląskie,19 822,"66,7",1 321 393
Świętokrzyskie,7 558,"55,1",416 130
Warmińsko-mazurskie,11 014,"66,2",729 592
Wielkopolskie,126 718,"71,3",9 039 258
Zachodniopomorskie,8 305,"62,9",522 514
