region,area,dt/ha,dt
Polska,947 075,"28,5",27 007 759
Dolnośląskie,133 702,"28,7",3 839 571
Kujawsko-pomorskie,117 408,"28,6",3 357 775
Lubelskie,65 047,"24,8",1 614 672
Lubuskie,36 775,"29,6",1 089 774
Łódzkie,23 310,"27,2",634 803
Małopolskie,7 751,"25,9",200 459
Mazowieckie,42 763,23,985 176
Opolskie,75 325,"31,4",2 361 924
Podkarpackie,23 414,24,562 015
Podlaskie,11 058,"28,7",316 938
Pomorskie,77 384,"29,1",2 251 571
Śląskie,19 687,"28,7",564 732
Świętokrzyskie,9 751,"25,5",248 928
Warmińsko-mazurskie,75 786,"25,6",1 940 548
Wielkopolskie,114 612,"31,6",3 627 007
Zachodniopomorskie,113 302,"30,1",3 411 866
