region,area,dt/ha,dt
Polska,546 153,"25,3",13 815 917
Dolnośląskie,22 372,"30,2",675 883
Kujawsko-pomorskie,14 546,"25,6",372 311
Lubelskie,66 103,"24,6",1 625 761
Lubuskie,13 126,"19,1",250 773
Łódzkie,50 129,"25,8",1 291 458
Małopolskie,19 519,"25,8",503 624
Mazowieckie,96 767,22,2 129 407
Opolskie,6 948,"36,7",255 318
Podkarpackie,23 552,"26,2",616 543
Podlaskie,51 826,"24,6",1 274 246
Pomorskie,34 916,"27,6",962 769
Śląskie,17 445,"30,6",534 087
Świętokrzyskie,16 137,"22,6",364 542
Warmińsko-mazurskie,27 800,29,807 402
Wielkopolskie,45 109,"23,7",1 068 056
Zachodniopomorskie,39 860,"27,2",1 083 737
