region,area,dt/ha,dt
Polska,406 439,230,93 618 479
Dolnośląskie,23 696,259,6 146 692
Kujawsko-pomorskie,19 499,235,4 574 702
Lubelskie,38 342,234,8 977 534
Lubuskie,8 348,222,1 854 643
Łódzkie,45 382,261,11 842 026
Małopolskie,33 625,203,6 829 281
Mazowieckie,53 193,209,11 141 299
Opolskie,9 466,302,2 859 851
Podkarpackie,34 516,198,6 822 684
Podlaskie,17 613,202,3 551 378
Pomorskie,23 203,248,5 757 368
Śląskie,12 920,224,2 889 866
Świętokrzyskie,21 524,200,4 313 339
Warmińsko-mazurskie,10 310,211,2 173 366
Wielkopolskie,41 204,253,10 437 525
Zachodniopomorskie,13 597,254,3 446 925
