region,area,dt/ha,dt
Polska,193 671,580,112 341 940
Dolnośląskie,17 208,551,9 481 094
Kujawsko-pomorskie,37 152,605,22 464 248
Lubelskie,33 124,559,18 512 548
Lubuskie,1 162,652,757 718
Łódzkie,5 830,516,3 009 774
Małopolskie,1 353,480,649 234
Mazowieckie,9 775,615,6 012 912
Opolskie,14 200,557,7 904 567
Podkarpackie,3 776,563,2 127 293
Podlaskie,1,0,0
Pomorskie,10 270,581,5 968 694
Śląskie,1 757,561,985 114
Świętokrzyskie,4 407,527,2 323 830
Warmińsko-mazurskie,2 724,625,1 703 855
Wielkopolskie,41 504,590,24 501 834
Zachodniopomorskie,9 428,630,5 939 225
